Project Name                                    ,prefix       ,num issues,All Comments,Average comments  ,Issues with comments,Average commented issue,Min comment,Max comment,Percentage of issues without comments
Directory                                       ,DIR          ,223       ,532         ,2.3856502242152464,205                 ,2.5951219512195123     ,0          ,18         ,0.08071748878923767
Directory Studio                                ,DIRSTUDIO    ,1231      ,3857        ,3.133225020308692 ,1102                ,3.5                    ,0          ,35         ,0.10479285134037368
ECS                                             ,ECS          ,4         ,13          ,3.25              ,2                   ,6.5                    ,0          ,11         ,0.5
Edgent                                          ,EDGENT       ,450       ,1581        ,3.513333333333333 ,363                 ,4.355371900826446      ,0          ,75         ,0.19333333333333333
Etch                                            ,ETCH         ,295       ,302         ,1.023728813559322 ,167                 ,1.8083832335329342     ,0          ,9          ,0.43389830508474575
Falcon                                          ,FALCON       ,2343      ,10336       ,4.411438326931284 ,1978                ,5.225480283114257      ,0          ,53         ,0.15578318395219803
Felix                                           ,FELIX        ,6120      ,18093       ,2.958789860997547 ,5475                ,3.304657534246575      ,0          ,49         ,0.10466067048242028
Flink                                           ,FLINK        ,16283     ,114222      ,7.078705999008428 ,14238               ,8.022334597555837      ,0          ,370        ,0.1176251859196827
Flume                                           ,FLUME        ,3339      ,15080       ,4.517675254643499 ,2830                ,5.328621908127208      ,0          ,109        ,0.15218693828639904
FOP                                             ,FOP          ,2909      ,13319       ,4.5816993464052285,2757                ,4.830975698222706      ,0          ,126        ,0.05159958720330237
Forrest                                         ,FOR          ,1251      ,3974        ,3.1766586730615507,1092                ,3.639194139194139      ,0          ,29         ,0.12709832134292565
FtpServer                                       ,FTPSERVER    ,491       ,1214        ,2.4725050916496945,432                 ,2.810185185185185      ,0          ,30         ,0.12016293279022404
Geronimo                                        ,GERONIMO     ,6660      ,1801        ,2.3030690537084397,671                 ,2.684053651266766      ,0          ,20         ,0.14194373401534527
Giraph                                          ,GIRAPH       ,1231      ,6784        ,5.515447154471545 ,1116                ,6.078853046594982      ,0          ,65         ,0.09268292682926829
Groovy                                          ,GROOVY       ,9174      ,28487       ,3.111632987438558 ,7633                ,3.732084370496528      ,0          ,52         ,0.16624795193883124
Guacamole                                       ,GUACAMOLE    ,964       ,2935        ,3.0700836820083683,749                 ,3.918558077436582      ,0          ,60         ,0.21652719665271966
Hadoop Common                                   ,HADOOP       ,14662     ,157523      ,10.743622970945301,13863               ,11.362836326913367     ,0          ,201        ,0.054494611921975175
Hadoop Development Tools                        ,HDT          ,63        ,158         ,2.507936507936508 ,52                  ,3.0384615384615383     ,0          ,19         ,0.1746031746031746
Hadoop Distributed Data Store                   ,HDDS         ,3056      ,13255       ,4.337369109947644 ,2253                ,5.8832667554371945     ,0          ,104        ,0.262761780104712
Hadoop HDFS                                     ,HDFS         ,14419     ,176055      ,12.209931340592274,13444               ,13.095432906872954     ,0          ,303        ,0.0676191136694639
